Date,IXIC,AMZN,ECONMSA,GEPU,RSXFSN,WUI
1/1/00,4403.29,66.81,5553,57.8,231504,5832
4/1/00,3742.56,46.6,6059,76.12,250566,5570
7/1/00,3882.05,36.69,6892,57.48,248519,13817
10/1/00,2812.69,25.63,9104,90.97,263836,11881
1/1/01,2254.94,12.58,7923,99.21,234734,22325
4/1/01,2129.09,15.54,7816,84.68,259345,13179
7/1/01,1777.12,9.13,7737,116.56,251391,25156
10/1/01,1857.06,9.71,10784,130.85,275286,23448
1/1/02,1836.96,14.2,9621,91.24,238588,22597
4/1/02,1589.06,17.06,10076,85.1,263141,17938
7/1/02,1271.72,15.11,10760,107.66,263620,14136
10/1/02,1381.35,20.53,14166,116.64,277501,27833
1/1/03,1333.2,23.3,12358,133.3,246760,25719
4/1/03,1561.01,33.63,12973,104.23,272905,34455
7/1/03,1777.47,45.46,13909,76.2,276622,23886
10/1/03,1965.28,53.67,17915,74.11,291290,12058
1/1/04,2030.06,45.56,16201,76.14,264817,16122
4/1/04,1984.89,48.83,16502,83.29,290081,9975
7/1/04,1874.1,39.31,17371,71.45,290661,14398
10/1/04,2082.41,39.37,22523,78.73,312124,13203
1/1/05,2037.79,37.56,20142,58.87,278391,11538
4/1/05,2015.61,33.65,20953,69.48,310240,11867
7/1/05,2162.87,44.38,22171,70.95,312912,20194
10/1/05,2186.15,45.16,28121,64.74,328218,12166
1/1/06,2309,39.6,25490,63.69,298241,11553
4/1/06,2224.51,36.17,25817,71.16,328254,8235
7/1/06,2177.88,29.95,26892,61.63,325278,11855
10/1/06,2404.59,39.3,35135,60.92,338751,9051
1/1/07,2433.91,38.87,30403,62.76,307089,13358
4/1/07,2577.61,66.29,31589,58.59,337790,18460
7/1/07,2614.71,83.87,32352,73.8,333384,21868
10/1/07,2724.12,90.78,42126,84.79,353465,13844
1/1/08,2313.48,71.16,34270,119.95,316721,13177
4/1/08,2409.48,77.86,34260,90.58,342690,18019
7/1/08,2261.65,76.64,33486,123.48,333303,14048
10/1/08,1611.18,50.41,39576,166.73,319058,13245
1/1/09,1460.95,65.68,32284,143.17,276177,21794
4/1/09,1775.56,80.72,32924,107.78,301857,18972
7/1/09,2036.66,86.77,34494,105.01,303808,14507
10/1/09,2152.95,129.75,45805,94.36,322315,18952
1/1/10,2261.19,126.53,37059,111.18,291972,19712
4/1/10,2275.82,123.94,38467,124.59,320314,21449
7/1/10,2245.78,133.26,40075,125.56,316957,19653
10/1/10,2552.84,173.54,54320,122.16,343439,14902
1/1/11,2754.47,174.35,44260,110.79,314533,13398
4/1/11,2827.45,199,45452,104.14,344871,14121
7/1/11,2583.75,217.99,46209,184.7,342416,20228
10/1/11,2636.63,192.97,64528,188.51,365831,19437
1/1/12,2957.43,192.21,51849,154.52,338504,18630
4/1/12,2936.25,224.39,52658,163.19,359469,36828
7/1/12,3040.9,245.3,53915,147.19,355696,25945
10/1/12,3002.33,245.27,73925,167,380408,38752
1/1/13,3189.95,265.42,58146,143.66,346784,31599
4/1/13,3395.98,266.9,59799,119.73,373987,14114
7/1/13,3662.57,298.28,60825,121.53,372627,15803
10/1/13,4052.06,385.48,83008,122.54,393015,18492
1/1/14,4203.66,352.39,65308,106.71,353841,19537
4/1/14,4255.12,313.82,68692,99.89,392529,20086
7/1/14,4481.14,324.82,70137,110.19,390184,14211
10/1/14,4719.47,318.15,94149,118.23,410330,17252
1/1/15,4833.22,368.93,74304,122.38,361757,29838
4/1/15,4999.44,428.37,78015,106.38,398226,25361
7/1/15,4841.65,520.31,79743,145.82,397822,21280
10/1/15,5056.61,655.53,106576,114.53,417566,18518
1/1/16,4680.58,577.72,84274,157.44,373432,22826
4/1/16,4855.36,699.33,89122,171.15,405950,18513
7/1/16,5229.12,788.43,90694,175.67,405551,30182
10/1/16,5298.65,763.42,120348,201.07,431099,32031
1/1/17,5783.99,851.69,96170,242.27,385892,29910
4/1/17,6128.85,962.54,103037,172.61,421604,16514
7/1/17,6424.25,976.58,104982,149.47,420419,16326
10/1/17,6835.01,1150.5,140161,155.92,452157,28397
1/1/18,7249.31,1470.23,111988,144.96,405088,13622
4/1/18,7339.56,1631.85,119362,170.56,442737,25653
7/1/18,7942.56,1931.05,121219,206.4,438596,28711
10/1/18,7090.57,1596.72,155059,254.11,465388,26443
1/1/19,7514.53,1713.1,122591,244.5,410499,36588
4/1/19,7851.59,1865.07,132652,263.3,455528,40489
7/1/19,8045.88,1792.99,138715,292.36,454289,32801
10/1/19,8643.48,1808.43,177271,273.1,480442,52716
1/1/20,8472.8,1947.4,147588,276.4,419258,55685
4/1/20,9479.4,2558.4,203546,382.78,438054,28914
7/1/20,11229.41,3254.79,207716,321.75,484559,27498
10/1/20,11999.54,3153.71,256597,330.68,514927,22320
1/1/21,13169.97,3131.07,216742,244.13,489085,11889
4/1/21,14071.79,3376.88,234892,197.21,562005,18073
7/1/21,14793.5,3361.14,227234,212.79,547169,21509
10/1/21,15560.35,3404.61,281576,234.2,590091,19803